tahun;luas_panen;produksi_ton;curah_hujan;suhu;kelembapan
2003;25;39;2947.29;27.39;80.69
2004;43;66.51;2702.67;27.42;80.81
2005;20;32;2915.05;27.48;81.04
2006;48;84.5;2846.38;27.19;81.56
2007;19;33;2996.14;27.3;80.54
2008;36;64;3061.47;27.15;80.36
2009;38;70;2677.71;27.46;79.27
2010;7;13;3208.46;27.62;79.38
2011;5;10;3098.66;27.45;78.74
2012;10;20;3052.57;27.46;78.54
2013;14;25.2;2781.91;27.53;79.38
2014;1;4;2506.4;27.64;78.68
2015;7;25.2;2237.99;27.73;78.74
2016;17;18.7;3200.77;27.78;80.27
2017;49;53.9;2872.42;27.62;79.07
2018;104;520;2910.1;27.6;78.68
2020;59;206.5;2796.89;27.97;78.11
2021;23.5;165;2725.9;27.81;77.74
2022;32.5;182;2960.88;27.59;78.4
2023;51;191.9;2329.07;27.8;79.28
2024;138;897;2765.84;28.29;79.12
